state,visited
Alabama,3
Alaska,0
Arkansas,1
Arizona,2
California,5
Colorado,1000
Connecticut,0
Delaware,0
Florida,4
Georgia,0
Hawaii,0
Iowa,0
Idaho, 0
Illinois,2
Indiana,0
Kansas,3
Kentucky,0
Louisiana,2
Maine,3
Maryland,1
Massachusetts,4
Michigan, 1
Minnesota,0
Missouri,1
Mississippi,3
Montana,2
North Carolina,0
North Dakota,2
Nebraska,2
New Hampshire,1
New Jersey,1
New Mexico,6
Nevada,2
New York,2
Ohio,0
Oklahoma,4
Oregon,3
Pennsylvania,2
Rhode Island,0
South Carolina,0
South Dakota,3
Tennessee,4
Texas,1000
Utah,3
Virginia,0
Vermont,2
Washington,4
Wisconsin,1
West Virginia,0
Wyoming,7
